0,0,0,0,0,0,0,0,0,0,0,0
0.05,1.01e-11,1.0085e-11,1.0054e-11,9.9937e-12,9.8738e-12,9.6408e-12,9.2003e-12,8.4111e-12,7.1312e-12,5.3813e-12,3.5237e-12
0.1,4.7322e-09,4.7236e-09,4.7064e-09,4.6725e-09,4.6057e-09,4.4766e-09,4.2349e-09,3.8103e-09,3.1449e-09,2.2848e-09,1.438e-09
0.15,0.0018431,0.00091913,0.00045896,0.00022933,0.00011463,5.7304e-05,2.8649e-05,1.4324e-05,7.162e-06,3.581e-06,1.7905e-06
0.2,0.02621,0.012677,0.0062371,0.0030936,0.0015407,0.0007688,0.00038402,0.00019192,9.5934e-05,4.7961e-05,2.3979e-05
0.25,0.23583,0.09109,0.040884,0.019443,0.0094879,0.0046875,0.00233,0.0011616,0.00057997,0.00028978,0.00014484
0.3,41.956,0.85759,0.21155,0.083735,0.037859,0.018064,0.0088328,0.0043686,0.0021725,0.0010834,0.00054096
0.35,219.63,44.813,2.4201,0.33624,0.11815,0.051391,0.024152,0.011726,0.0057796,0.0028694,0.0014296
0.4,226.25,210.33,15.891,2.6298,0.34204,0.11953,0.052059,0.024464,0.011875,0.0058521,0.0029051
0.45,229.49,217.74,106.83,10.204,1.184,0.24517,0.094191,0.042229,0.020075,0.0097961,0.0048398
0.5,231.31,221.75,199.49,15.048,4.3402,0.46916,0.14963,0.063285,0.029369,0.014174,0.0069658
0.55,232.39,224.11,205.3,18.318,7.9711,0.86759,0.21539,0.085422,0.038677,0.018464,0.0090276
0.6,233.07,225.59,208.81,20.806,10.347,1.5433,0.28735,0.10677,0.047238,0.022328,0.010867
0.65,233.53,226.57,211.08,22.851,11.96,2.4877,0.36117,0.12614,0.054678,0.025626,0.012423
0.7,233.84,227.23,212.61,24.644,13.072,3.4897,0.4331,0.14301,0.06092,0.028349,0.013699
0.75,234.06,227.7,213.69,26.297,13.857,4.3726,0.50043,0.15731,0.066047,0.030558,0.014728
0.8,234.22,228.04,214.46,27.893,14.425,5.084,0.56156,0.16924,0.070215,0.032335,0.015552
