0,0,0,0,0,0
0.05,1.0085e-10,1.0054e-10,9.9937e-11,9.8738e-11,9.6408e-11
0.1,6.7149e-05,3.3566e-05,1.6781e-05,8.3901e-06,4.1949e-06
0.15,0.0094178,0.0046457,0.0023074,0.0011498,0.00057394
0.2,0.1821,0.07343,0.033466,0.016009,0.0078321
0.25,229.16,216.48,0.40102,0.12542,0.052839
0.3,233.9,227.36,214.93,3.632,0.33966
0.35,236.29,232.42,224.18,207.2,7.3568
0.4,237.41,234.74,229.16,216.99,28.818
0.45,238,235.95,231.69,222.6,202.4
0.5,238.33,236.63,233.11,225.68,209.01
0.55,238.53,237.04,233.96,227.5,213.24
0.6,238.66,237.3,234.5,228.65,215.85
0.65,238.74,237.47,234.86,229.41,217.55
0.7,238.8,237.59,235.1,229.93,218.7
0.75,238.84,237.67,235.28,230.29,219.51
0.8,238.87,237.73,235.4,230.56,220.1
0.85,238.9,237.78,235.5,230.75,220.53
0.9,238.91,237.81,235.57,230.9,220.86
0.95,238.93,237.84,235.62,231.02,221.11
1,238.94,237.86,235.67,231.11,221.31
1.05,238.95,237.88,235.7,231.18,221.47
1.1,238.95,237.89,235.73,231.23,221.59
1.15,238.96,237.9,235.75,231.28,221.7
1.2,238.96,237.91,235.77,231.32,221.78
1.25,238.97,237.92,235.78,231.35,221.85
1.3,238.97,237.92,235.8,231.38,221.91
1.35,238.97,237.93,235.81,231.4,221.96
1.4,238.97,237.93,235.81,231.42,222
1.45,238.98,237.94,235.82,231.44,222.04
1.5,238.98,237.94,235.83,231.45,222.07
1.45,238.98,237.94,235.82,231.44,222.04
1.4,238.97,237.93,235.82,231.42,222
1.35,238.97,237.93,235.81,231.4,221.96
1.3,238.97,237.92,235.8,231.38,221.91
1.25,238.97,237.92,235.78,231.35,221.86
1.2,238.96,237.91,235.77,231.32,221.79
1.15,238.96,237.9,235.75,231.28,221.7
1.1,238.95,237.89,235.73,231.24,221.6
1.05,238.95,237.88,235.7,231.18,221.48
1,238.94,237.86,235.67,231.11,221.33
0.95,238.93,237.84,235.63,231.03,221.14
0.9,238.92,237.82,235.57,230.91,220.89
0.85,238.9,237.78,235.51,230.77,220.57
0.8,238.88,237.74,235.42,230.58,220.15
0.75,238.85,237.68,235.29,230.33,219.59
0.7,238.81,237.6,235.13,229.98,218.82
0.65,238.75,237.49,234.9,229.48,217.72
0.6,238.67,237.32,234.56,228.77,216.12
0.55,238.55,237.08,234.06,227.7,213.69
0.5,238.37,236.7,233.27,226.02,209.82
0.45,238.07,236.09,231.99,223.25,203.21
0.4,237.55,235.03,229.76,218.33,190.52
0.35,236.6,233.05,225.55,208.71,153.47
0.3,234.67,229,216.63,185.64,0.49518
0.25,230.22,219.35,193.27,0.21485,0.075143
0.2,217.71,188.77,0.072252,0.030531,0.015767
0.15,163.54,0.017381,0.0083783,0.0041823,0.0020864
0.1,0.0022964,0.001143,0.00057059,0.0002851,0.0001425
0.05,4.5579e-05,2.2786e-05,1.1392e-05,5.6953e-06,2.8474e-06
0,5.6463e-08,2.8191e-08,1.4094e-08,7.0119e-09,3.437e-09
