0,0,0,0,0,0,0,0
0.05,1.01e-10,1.0085e-10,1.0054e-10,9.9937e-11,9.8738e-11,9.6408e-11,9.2003e-11
0.1,0.00013437,6.7149e-05,3.3566e-05,1.6781e-05,8.3901e-06,4.1949e-06,2.0975e-06
0.15,0.019365,0.0094178,0.0046457,0.0023074,0.0011498,0.00057394,0.00028673
0.2,0.74058,0.1821,0.07343,0.033466,0.016009,0.0078321,0.0038752
0.25,234.74,229.16,216.48,0.40102,0.12542,0.052839,0.02462
0.3,237,233.9,227.36,214.93,3.632,0.33966,0.11109
0.35,238.17,236.29,232.42,224.18,207.2,7.3568,0.58341
0.4,238.72,237.41,234.74,229.16,216.99,28.818,6.1152
0.45,239.01,238,235.95,231.69,222.6,202.4,14.121
0.5,239.17,238.33,236.63,233.11,225.68,209.01,19.432
0.55,239.27,238.53,237.04,233.96,227.5,213.24,24.112
0.6,239.33,238.66,237.3,234.5,228.65,215.85,30.999
0.65,239.37,238.74,237.47,234.86,229.41,217.55,188.34
0.7,239.4,238.8,237.59,235.1,229.93,218.7,191.53
0.75,239.42,238.84,237.67,235.28,230.29,219.51,193.71
0.8,239.44,238.87,237.73,235.4,230.56,220.1,195.26
0.85,239.45,238.9,237.78,235.5,230.75,220.53,196.39
0.9,239.46,238.91,237.81,235.57,230.9,220.86,197.23
0.95,239.47,238.93,237.84,235.62,231.02,221.11,197.88
1,239.47,238.94,237.86,235.67,231.11,221.31,198.38
1.05,239.47,238.95,237.88,235.7,231.18,221.47,198.78
1.1,239.48,238.95,237.89,235.73,231.23,221.59,199.1
1.15,239.48,238.96,237.9,235.75,231.28,221.7,199.36
1.2,239.48,238.96,237.91,235.77,231.32,221.78,199.57
1.25,239.48,238.97,237.92,235.78,231.35,221.85,199.75
1.3,239.49,238.97,237.92,235.8,231.38,221.91,199.89
1.35,239.49,238.97,237.93,235.81,231.4,221.96,200.02
1.4,239.49,238.97,237.93,235.81,231.42,222,200.12
1.45,239.49,238.98,237.94,235.82,231.44,222.04,200.21
1.5,239.49,238.98,237.94,235.83,231.45,222.07,200.29
1.45,239.49,238.98,237.94,235.82,231.44,222.04,200.22
1.4,239.49,238.97,237.93,235.82,231.42,222,200.13
1.35,239.49,238.97,237.93,235.81,231.4,221.96,200.03
1.3,239.49,238.97,237.92,235.8,231.38,221.91,199.91
1.25,239.48,238.97,237.92,235.78,231.35,221.86,199.76
1.2,239.48,238.96,237.91,235.77,231.32,221.79,199.59
1.15,239.48,238.96,237.9,235.75,231.28,221.7,199.38
1.1,239.48,238.95,237.89,235.73,231.24,221.6,199.13
1.05,239.48,238.95,237.88,235.7,231.18,221.48,198.82
1,239.47,238.94,237.86,235.67,231.11,221.33,198.43
0.95,239.47,238.93,237.84,235.63,231.03,221.14,197.94
0.9,239.46,238.92,237.82,235.57,230.91,220.89,197.31
0.85,239.45,238.9,237.78,235.51,230.77,220.57,196.49
0.8,239.44,238.88,237.74,235.42,230.58,220.15,195.4
0.75,239.43,238.85,237.68,235.29,230.33,219.59,193.92
0.7,239.41,238.81,237.6,235.13,229.98,218.82,191.84
0.65,239.38,238.75,237.49,234.9,229.48,217.72,188.8
0.6,239.34,238.67,237.32,234.56,228.77,216.12,184.14
0.55,239.28,238.55,237.08,234.06,227.7,213.69,176.31
0.5,239.19,238.37,236.7,233.27,226.02,209.82,160.17
0.45,239.04,238.07,236.09,231.99,223.25,203.21,14.638
0.4,238.78,237.55,235.03,229.76,218.33,190.52,6.1152
0.35,238.32,236.6,233.05,225.55,208.71,153.47,0.62021
0.3,237.38,234.67,229,216.63,185.64,0.49518,0.14449
0.25,235.24,230.22,219.35,193.27,0.21485,0.075143,0.03824
0.2,229.48,217.71,188.77,0.072252,0.030531,0.015767,0.0077796
0.15,208.81,163.54,0.017381,0.0083783,0.0041823,0.0020864,0.0010407
0.1,131.35,0.0022964,0.001143,0.00057059,0.0002851,0.0001425,7.1235e-05
0.05,9.1194e-05,4.5579e-05,2.2786e-05,1.1392e-05,5.6953e-06,2.8474e-06,1.4237e-06
0,1.1305e-07,5.6463e-08,2.8191e-08,1.4094e-08,7.0119e-09,3.437e-09,1.7196e-09
